id,player,fantasy_position
939ba0d8,Chardonnay Curran,MF
fb6605c0,Bea Franklin,MF
92075fc4,Julia Grosso,MF
bb65b66d,Manaka Hayashi,MF
afcbf4d8,Allysha Chapman,DF
c942bc07,Natalie Jacobs,DF
2a0f0a55,Paige Nielsen,DF
fa5e9ae1,Katie Lind,DF
14de6d32,Ella Hase,DF
274666f1,Christen Westphal,DF
85cea0cf,Debinha,FW
b03e80f6,Michelle Alozie,FW
36355319,Amanda McGlynn,FW
8055d335,Ryan Gareis,FW
0ce1f38f,Lorena,FW
883f60f8,Avery Patterson,FW
01204fe0,Messiah Bright,FW
22502cce,Yazmeen Ryan,FW
c40fd1ac,Jane Campbell,GK
5d05e9a1,Haley Hopkins,GK
947d22fb,Abby Smith,GK
e70a7484,Katie Lund,MF
e8f90dc9,Sophie Schmidt,MF
b4ce93ce,Bárbara Olivieri,MF
088dd3ef,Sarah Puntigam,MF
4a1e993d,Isabella Briede,MF
24478b0c,Danielle Colaprico,MF
ef032510,Delanie Sheehan,MF
0b96a829,Evelina Duljan,MF
8dc6b01e,Maggie Graham,MF
a69d6298,Ellie Wheeler,DF
43d5b985,Isabel Rodriguez,DF
f9ee912d,Sarah Weber,DF
77ce913d,Gabrielle Carle,DF
0ba36ee8,Kayla Sharples,DF
b86badfa,Temwa Chaŵinga,FW
9c06c97c,Nichelle Prince,FW
5f97ae2e,Michelle Cooper,FW
7cb8a975,Kristen McNabb,FW
57cb0988,Mwanalima Jereko,FW
51e267dc,Aline,FW
feef7ea8,Laurel Ivory,GK
e4ef9beb,Lo'eau LaBonta,MF
362b4969,Raquel Rodríguez,MF
7db28545,Claire Hutton,MF
e940a089,Vanessa DiBernardo,MF
28814cc8,Bayley Feist,MF
9be20864,Brianna Martinez,DF
711932d7,Taryn Torres,DF
543614ff,Tierna Davidson,DF
ee5355a7,Mandy Freeman,DF
bb5e99fc,Jess Carter,DF
8f146dff,Esther González,FW
ec70f750,Sarah Schupansky,FW
268a4e22,Ella Stevens,FW
8dd703ab,Gabi Portilho,FW
aa1c2ad1,Hina Sugita,FW
8e2a7ac1,Cecelia Kizer,FW
eeb2f6eb,Mak Whitham,FW
1017b590,Khyah Harper,FW
8907c2bd,Shelby Hogan,GK
be9f3298,Ann-Katrin Berger,GK
08acd418,Emily Sonnett,DF
3213cad3,Jaelin Howell,MF
b26a8c1f,Nealy Martin,MF
d1a10776,Rafaelle,MF
23b17daa,Kaleigh Kurtz,DF
f8e41f9d,Malia Berkely,DF
01079eae,Felicitas Rauch,DF
bd325738,Maria Sanchez,DF
787e8bfd,Ryan Williams,DF
4b32b951,Maycee Bell,DF
9ced946b,Ashley Sanchez,FW
bab2c5ab,Tyler Lussi,FW
3ee50ac6,Olivia Moultrie,FW
55d492ba,Cortnee Vine,FW
271e0873,Bianca St Georges,FW
130c8e6e,Hannah Betfort,FW
d2de2f84,Ashley Hatch,GK
57045f36,Brianna Pinto,MF
2f3ffc2d,Denise O'Sullivan,MF
1cb43c5f,Kenza Dali,MF
77361b23,Jaedyn Shaw,MF
3ed16dcd,Meredith Speck,MF
a4a65861,Manaka Matsukubo,MF
580d2856,Shinomi Koyama,MF
7f140cb9,Kylie Strom,DF
714e5fef,Emily Sams,DF
45419c74,Kerry Abello,DF
ace997a7,Cori Dyke,DF
166cd310,Zara Chavosi,DF
70e954f3,Prisca Chilufya,FW
56d5fb23,Ally Watt,FW
0ae418c9,Gia Corley,FW
020fa352,Julie Doyle,FW
7824185a,Barbra Banda,FW
4f994efc,Summer Yates,FW
271c5edc,Anna Moorhouse,GK
c6b94261,Katie O’Kane,GK
05c99b84,Viviana Villacorta,MF
49d6d4a8,Angelina,MF
f44c4259,Morgan Gautrat,MF
7bbb977b,Ally Lemos,MF
bf9f8b7f,Reyna Reyes,DF
a2fa9566,Isabella Obaze,DF
eb036ce5,Samantha Hiatt,DF
6946f9d4,Cassie Miller,DF
1b470ecd,Deyna Castellanos,FW
364b1359,Payton Linnehan,FW
7f88a259,Pietra Tordin,FW
ecacba26,Esme Morgan,FW
cc4c8fb2,Reilyn Turner,FW
0567dc96,Alexa Spaanstra,FW
73eb19a8,Bella Bixby,GK
4d28a90a,Sam Coffey,MF
e47d2297,Jessie Fleming,MF
08569d75,Lauren Milliet,DF
2b0527c9,Arin Wright,DF
05d6a62d,Courtney Petersen,DF
20d16415,Maddie Pokorny,DF
7ec2ba7c,Emma Sears,FW
90ebe6bf,Sandy MacIver,FW
c5ca9ed9,Jordyn Bugg,GK
add26dda,Savannah Demelo,MF
fa566209,Ary Borges,MF
9eef68fb,Kayla Fischer,MF
2021c04f,Marisa DiGrande,MF
9d2c6180,Taylor Flint,MF
e31c93ca,Trinity Armstrong,DF
37ed9d8f,Hanna Lundkvist,DF
b07b7c39,Kennedy Wesley,DF
1cc6b80b,Kaitlyn Torpey,DF
220b9b36,Ainsley Mccammon,DF
197fe553,Perle Morroni,DF
74911ec6,Trinity Rodman,FW
4a296e8e,Caiya Hanks,FW
2d4436d1,Makenzy Doniak,FW
fe14499e,Kyra Carusa,FW
9d82fe8e,Delphine Cascarino,FW
46b237d3,Kailen Sheridan,GK
42ecf0e8,DiDi Haracic,GK
81b39775,Kimmi Ascanio,MF
8546d3ab,Savannah McCaskill,MF
9e5caab3,Melanie Barcenas,MF
380c9205,Lauren Barnes,DF
f02cb699,Phoebe McClernon,DF
09de4066,Shae Holmes,DF
fc33d14d,Hanna Glas,DF
8b5135ec,Madison Curry,DF
3d1f29d9,Jordyn Huitema,FW
91c05463,Nérilia Mondésir,FW
d3c316a3,Ana-Maria Crnogorčević,FW
e64b3c35,Emeri Adames,FW
829fd286,Madeline Dahlien,FW
5689807c,Claudia Dickey,GK
6444e5a0,Angharad James,MF
11cfa9d6,Jess Fishlock,MF
c5863809,Samantha Meza,MF
bfa99222,Maddie Mercado,MF
60d80b92,Ji So-yun,MF
8cfb97f5,Kate Del Fava,DF
78d285e6,Madison Pogarch,DF
0c6c239b,Janni Thomsen,DF
93504985,Ana Tejada,DF
db1957b4,Tatumn Milazzo,DF
a5d0b32a,Nuria Rábano,DF
2625e415,Paige Monaghan,FW
e91c05ee,Ally Sentnor,FW
5b88fd9c,Brecken Mozingo,FW
ac768b90,Mina Tanaka,FW
eba11dbe,KK Ream,FW
abf96cef,Aisha Solórzano,FW
afa5e5ce,Cristina Roque,GK
243b7b15,Macey Fraser,MF
939315dc,Mikayla Cluff,MF
2e6a5e3e,Dana Foederer,MF
82f12690,Claudia Zornoza,MF
ed06502e,Casey Krueger,DF
2d8ec240,Tara McKeown,DF
34603a7a,Brittany Ratcliffe,FW
32b99c02,Chloe Ricketts,FW
020eaa4d,Aubrey Kingsbury,GK
aa0f9aa7,Croix Bethune,MF
4059a68f,Makenna Morris,MF
36e74d61,Leicy Santos,MF
277ae96a,Hal Hershfelt,MF
7bb60dd3,Narumi Miura,MF
